x,y,fixation
345.0,188.0,100
240.0,433.0,100
264.0,247.0,100
-45.0,45.0,100
135.0,206.0,100
125.0,226.0,100
443.0,465.0,100
427.0,471.0,100
338.0,288.0,100
412.0,264.0,100
595.0,176.0,100
508.0,183.0,100
530.0,262.0,100
1088.0,59.0,100
329.0,247.0,100
372.0,466.0,100
404.0,150.0,100
1004.0,412.0,100
973.0,383.0,100
377.0,470.0,100
628.0,454.0,100
297.0,525.0,100
434.0,245.0,100
195.0,192.0,100
596.0,407.0,100
876.0,369.0,100
445.0,179.0,100
397.0,64.0,100
95.0,283.0,100
324.0,172.0,100
553.0,149.0,100
264.0,238.0,100
325.0,157.0,100
392.0,199.0,100
267.0,212.0,100
395.0,190.0,100
440.0,455.0,100
648.0,503.0,100
264.0,319.0,100
440.0,111.0,100
849.0,87.0,100
751.0,403.0,100
-42.0,44.0,100
9.0,12.0,100
218.0,283.0,100
-37.0,83.0,100
58.0,58.0,100
56.0,212.0,100
54.0,198.0,100
114.0,262.0,100
122.0,196.0,100
111.0,314.0,100
164.0,199.0,100
369.0,423.0,100
365.0,392.0,100
346.0,211.0,100
549.0,275.0,100
596.0,165.0,100
612.0,180.0,100
540.0,170.0,100
509.0,233.0,100
366.0,146.0,100
1102.0,53.0,100
878.0,174.0,100
1000.0,109.0,100
1058.0,63.0,100
378.0,429.0,100
690.0,370.0,100
440.0,464.0,100
846.0,434.0,100
638.0,459.0,100
721.0,357.0,100
268.0,173.0,100
110.0,192.0,100
86.0,223.0,100
153.0,161.0,100
543.0,115.0,100
280.0,197.0,100
436.0,210.0,100
497.0,318.0,100
358.0,194.0,100
459.0,542.0,100
387.0,203.0,100
457.0,554.0,100
423.0,530.0,100
258.0,195.0,100
285.0,174.0,100
502.0,251.0,100
646.0,215.0,100
